iter	Passed	Remaining
0	62	62282
1	64	32215
2	66	22066
3	68	17015
4	70	13945
5	72	11931
6	73	10465
7	76	9438
8	78	8601
9	80	7947
10	82	7376
11	83	6900
12	85	6503
13	87	6154
14	89	5850
15	90	5586
16	92	5364
17	94	5165
18	96	4981
19	98	4809
20	99	4656
21	101	4523
22	103	4406
23	105	4293
24	107	4194
25	109	4091
26	110	3995
27	112	3917
28	114	3833
29	116	3758
30	117	3687
31	119	3622
32	121	3572
33	124	3526
34	125	3472
35	127	3421
36	129	3367
37	130	3314
38	132	3271
39	134	3228
40	136	3182
41	137	3142
42	139	3102
43	141	3067
44	143	3036
45	144	2999
46	146	2968
47	148	2937
48	150	2913
49	151	2886
50	153	2859
51	155	2833
52	157	2806
53	158	2782
54	160	2756
55	162	2731
56	163	2709
57	165	2685
58	167	2663
59	168	2643
60	170	2625
61	172	2605
62	173	2585
63	175	2567
64	177	2547
65	178	2529
66	180	2511
67	181	2494
68	183	2477
69	186	2471
70	187	2457
71	189	2442
72	191	2432
73	193	2417
74	194	2403
75	196	2390
76	198	2376
77	200	2365
78	202	2357
79	203	2344
80	205	2332
81	207	2326
82	209	2317
83	211	2306
84	213	2295
85	214	2284
86	216	2271
87	218	2261
88	219	2251
89	221	2241
90	223	2231
91	225	2221
92	226	2211
93	228	2201
94	230	2194
95	232	2186
96	233	2176
97	235	2167
98	237	2159
99	239	2153
100	240	2144
101	243	2140
102	244	2131
103	246	2124
104	248	2116
105	249	2107
106	251	2100
107	253	2093
108	255	2085
109	256	2077
110	258	2071
111	260	2063
112	262	2057
113	264	2051
114	265	2044
115	267	2037
116	269	2030
117	270	2025
118	272	2018
119	274	2011
120	276	2006
121	277	2000
122	279	1994
123	281	1989
124	283	1983
125	285	1977
126	286	1972
127	289	1968
128	290	1963
129	292	1958
130	294	1953
131	296	1947
132	297	1941
133	299	1936
134	301	1930
135	302	1924
136	304	1919
137	306	1913
138	308	1908
139	310	1906
140	312	1901
141	313	1896
142	315	1891
143	317	1886
144	319	1881
145	320	1875
146	322	1870
147	324	1865
148	326	1862
149	328	1859
150	330	1857
151	332	1855
152	334	1850
153	336	1846
154	337	1841
155	339	1837
156	341	1833
157	343	1830
158	345	1825
159	346	1820
160	348	1815
161	350	1813
162	352	1809
163	354	1807
164	356	1804
165	358	1799
166	359	1795
167	361	1791
168	363	1786
169	365	1782
170	366	1778
171	368	1775
172	370	1770
173	372	1766
174	373	1761
175	375	1757
176	377	1756
177	379	1752
178	381	1748
179	382	1743
180	384	1739
181	386	1735
182	388	1732
183	389	1729
184	391	1725
185	393	1721
186	395	1718
187	396	1714
188	398	1710
189	400	1706
190	402	1703
191	403	1699
192	405	1695
193	407	1692
194	408	1687
195	410	1684
196	412	1680
197	414	1677
198	416	1675
199	417	1671
200	419	1667
201	421	1664
202	423	1660
203	425	1658
204	426	1654
205	428	1651
206	430	1647
207	432	1645
208	433	1641
209	435	1638
210	437	1635
211	438	1631
212	440	1628
213	442	1625
214	444	1621
215	445	1618
216	447	1615
217	449	1611
218	450	1608
219	452	1604
220	454	1601
221	456	1599
222	458	1596
223	459	1593
224	461	1590
225	463	1587
226	465	1584
227	467	1581
228	468	1578
229	470	1574
230	472	1571
231	473	1567
232	475	1564
233	477	1562
234	478	1559
235	480	1556
236	483	1555
237	484	1552
238	486	1549
239	488	1546
240	489	1542
241	491	1539
242	493	1536
243	495	1534
244	497	1531
245	498	1528
246	500	1525
247	502	1522
248	503	1519
249	505	1516
250	508	1516
251	509	1513
252	511	1510
253	513	1507
254	515	1505
255	517	1503
256	519	1501
257	520	1498
258	522	1495
259	524	1493
260	526	1491
261	528	1488
262	530	1485
263	532	1483
264	533	1480
265	535	1477
266	537	1474
267	539	1472
268	541	1470
269	542	1467
270	544	1464
271	546	1462
272	548	1459
273	550	1457
274	551	1455
275	553	1452
276	555	1449
277	556	1446
278	558	1444
279	560	1441
280	562	1438
281	563	1435
282	566	1434
283	567	1431
284	569	1428
285	571	1425
286	572	1422
287	574	1420
288	576	1417
289	578	1416
290	580	1414
291	582	1413
292	584	1410
293	586	1407
294	588	1406
295	590	1405
296	592	1403
297	595	1403
298	598	1402
299	600	1401
300	602	1398
301	603	1395
302	605	1392
303	607	1390
304	609	1388
305	611	1386
306	613	1383
307	614	1381
308	616	1379
309	618	1377
310	620	1374
311	622	1371
312	623	1369
313	625	1366
314	627	1364
315	629	1361
316	630	1358
317	632	1356
318	634	1354
319	636	1351
320	637	1348
321	639	1346
322	641	1344
323	642	1341
324	644	1339
325	646	1336
326	648	1334
327	649	1331
328	651	1329
329	653	1326
330	655	1324
331	656	1321
332	658	1319
333	660	1317
334	662	1314
335	664	1312
336	665	1309
337	667	1307
338	669	1304
339	670	1302
340	672	1300
341	674	1297
342	676	1295
343	678	1294
344	680	1291
345	682	1289
346	683	1286
347	685	1284
348	687	1281
349	688	1279
350	690	1277
351	692	1274
352	693	1271
353	695	1269
354	697	1267
355	699	1265
356	701	1263
357	703	1262
358	705	1259
359	707	1257
360	708	1254
361	710	1252
362	712	1250
363	714	1247
364	715	1245
365	717	1242
366	719	1240
367	720	1237
368	722	1236
369	724	1233
370	726	1232
371	728	1229
372	730	1227
373	731	1224
374	734	1223
375	735	1221
376	737	1218
377	739	1216
378	741	1214
379	742	1212
380	744	1209
381	746	1207
382	748	1205
383	750	1203
384	752	1201
385	755	1201
386	757	1199
387	759	1197
388	761	1195
389	762	1193
390	764	1191
391	766	1188
392	768	1186
393	769	1184
394	771	1181
395	773	1179
396	774	1177
397	776	1174
398	778	1173
399	780	1171
400	782	1169
401	784	1167
402	786	1164
403	788	1162
404	789	1160
405	791	1158
406	793	1156
407	795	1154
408	797	1152
409	799	1150
410	801	1148
411	802	1145
412	804	1144
413	806	1141
414	808	1139
415	810	1137
416	811	1135
417	813	1132
418	815	1130
419	816	1128
420	818	1125
421	820	1123
422	822	1121
423	823	1119
424	825	1117
425	827	1115
426	829	1113
427	831	1111
428	833	1109
429	835	1107
430	836	1104
431	838	1102
432	840	1100
433	842	1098
434	843	1096
435	846	1094
436	848	1092
437	849	1090
438	851	1088
439	853	1086
440	855	1084
441	857	1082
442	859	1081
443	861	1079
444	863	1076
445	865	1074
446	866	1072
447	868	1070
448	870	1068
449	872	1066
450	874	1064
451	875	1062
452	877	1059
453	879	1057
454	881	1056
455	883	1054
456	885	1052
457	887	1050
458	889	1048
459	891	1046
460	892	1043
461	895	1042
462	897	1040
463	899	1038
464	901	1036
465	902	1034
466	904	1032
467	906	1030
468	908	1028
469	910	1026
470	912	1024
471	913	1022
472	915	1020
473	917	1018
474	919	1016
475	921	1014
476	923	1012
477	925	1010
478	927	1008
479	929	1006
480	930	1004
481	932	1002
482	934	1000
483	936	998
484	938	996
485	939	993
486	941	992
487	943	990
488	945	988
489	947	986
490	949	983
491	950	981
492	952	979
493	954	977
494	956	976
495	959	975
496	963	975
497	967	974
498	969	972
499	971	971
500	974	970
501	976	968
502	979	967
503	981	965
504	984	964
505	986	963
506	990	963
507	993	962
508	995	960
509	997	958
510	999	956
511	1001	954
512	1003	952
513	1004	950
514	1006	947
515	1008	945
516	1009	943
517	1011	941
518	1013	939
519	1014	936
520	1016	934
521	1018	932
522	1020	930
523	1021	928
524	1023	926
525	1025	924
526	1027	922
527	1029	920
528	1031	918
529	1033	916
530	1035	914
531	1037	912
532	1039	910
533	1040	908
534	1042	906
535	1044	904
536	1046	901
537	1047	899
538	1049	897
539	1051	895
540	1052	893
541	1054	891
542	1056	889
543	1058	887
544	1060	885
545	1062	883
546	1064	881
547	1065	879
548	1067	877
549	1069	875
550	1071	873
551	1073	871
552	1075	869
553	1076	866
554	1078	864
